City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7008,170.3133,-0.4,86,58,10.89,RU,1681507225
1,busselton,-33.65,115.3333,58.14,69,95,8.77,AU,1681507225
2,hermanus,-34.4187,19.2345,57.76,64,32,5.95,ZA,1681507226
3,maldonado,-34.6667,-54.9167,58.23,61,9,7.87,UY,1681507226
4,punta arenas,-53.15,-70.9167,44.71,61,75,4.61,CL,1681507014
5,port elizabeth,-33.918,25.5701,60.31,74,0,19.57,ZA,1681507226
6,qaanaaq,77.484,-69.3632,12.58,75,17,2.73,GL,1681507227
7,juneau,58.3019,-134.4197,46.42,74,100,11.5,US,1681507227
8,sao francisco,-15.9486,-44.8644,82.24,55,100,6.38,BR,1681507228
9,saint-augustin,51.226,-58.6502,41.76,52,74,22.91,CA,1681507228
10,kapaa,22.0752,-159.319,77.18,76,75,17.27,US,1681506976
11,nieuw amsterdam,5.8833,-55.0833,86.16,74,20,9.22,SR,1681507228
12,cape town,-33.9258,18.4232,60.91,67,0,16.11,ZA,1681507119
13,guerrero negro,27.9769,-114.0611,63.72,48,23,15.99,MX,1681507229
14,bambous virieux,-20.3428,57.7575,77.25,88,40,2.3,MU,1681507229
15,lorengau,-2.0226,147.2712,82.4,79,97,10.63,PG,1681507229
16,kitimat,54.0524,-128.6534,47.91,63,100,2.91,CA,1681507230
17,rikitea,-23.1203,-134.9692,78.78,72,11,11.9,PF,1681507230
18,mataura,-46.1927,168.8643,52.48,81,4,3.02,NZ,1681507231
19,nanortalik,60.1432,-45.2371,36.12,76,100,4.68,GL,1681507231
20,ancud,-41.8697,-73.8203,55.18,68,0,4.43,CL,1681507036
21,nicolas bravo,18.45,-88.9167,96.13,33,1,9.93,MX,1681507231
22,tiksi,71.6872,128.8694,6.26,96,25,6.46,RU,1681507231
23,salalah,17.0151,54.0924,84.29,74,20,5.75,OM,1681507232
24,butaritari,3.0707,172.7902,82.24,77,26,11.61,KI,1681507232
25,scotts valley,37.0511,-122.0147,68.5,59,9,11.01,US,1681507007
26,ushuaia,-54.8,-68.3,44.26,65,75,20.71,AR,1681507173
27,nikolskoye,59.7035,30.7861,37.29,55,100,7.74,RU,1681507232
28,saint-louis,16.3333,-15.0,94.78,26,4,18.86,SN,1681507232
29,upernavik,72.7868,-56.1549,14.56,92,93,9.48,GL,1681507233
30,ponta do sol,32.6667,-17.1,63.23,64,1,6.44,PT,1681507233
